chunker,n_cells,step_tau_mean,step_tau_median,step_precision_mean,step_precision_median,step_count_fidelity_mean,step_count_fidelity_median,precondition_recall_mean,precondition_recall_median,constraint_f1_mean,constraint_f1_median,orphan_constraint_rate_mean,orphan_constraint_rate_median
fixed,15,0.3175,0.2889,0.2956,0.1724,0.3016,0.2424,1.0,1.0,0.0,0.0,0.7333,1.0
recursive,15,0.1745,0.0,0.2121,0.1053,0.2675,0.1905,1.0,1.0,0.0,0.0,0.7333,1.0
semantic,15,0.216,0.0,0.2588,0.0769,0.3271,0.2353,1.0,1.0,0.0,0.0,0.8667,1.0
layout_aware,15,0.2835,0.0278,0.2698,0.1765,0.2706,0.2308,1.0,1.0,0.0,0.0,0.6,1.0
pac,15,0.3014,0.4103,0.1778,0.1714,0.2773,0.2308,1.0,1.0,0.0,0.0,0.8,1.0
