doc_sha,doc_title,doc_source,doc_pages,chunker,step_tau,step_precision,step_count_fidelity,precondition_recall,constraint_f1,orphan_constraint_rate,constraint_precision,constraint_recall,n_gold_steps,n_pred_steps,n_gold_constraints,n_pred_constraints
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,layout_aware,-0.16666666666666666,0.031578947368421054,0.13684210526315788,1.0,0.0,1.0,0.0,0.0,13,95,3,8
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,pac,-0.2948717948717949,0.058823529411764705,0.10924369747899154,1.0,0.0,1.0,0.0,0.0,13,119,3,8
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,fixed,0.28888888888888886,0.09615384615384616,0.1923076923076923,1.0,0.0,1.0,0.0,0.0,10,52,0,10
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,recursive,-0.08888888888888889,0.10526315789473684,0.13157894736842102,1.0,0.0,1.0,0.0,0.0,10,76,0,8
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,semantic,-0.022222222222222223,0.02702702702702703,0.2702702702702703,1.0,0.0,1.0,0.0,0.0,10,37,0,10
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,layout_aware,0.26666666666666666,0.07894736842105263,0.26315789473684215,1.0,0.0,1.0,0.0,0.0,10,38,0,15
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,pac,-0.06666666666666667,0.18181818181818182,0.303030303030303,1.0,0.0,1.0,0.0,0.0,10,33,0,9
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,fixed,1.0,0.6666666666666666,0.6666666666666667,1.0,0.0,1.0,0.0,0.0,18,27,0,9
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,recursive,1.0,0.35294117647058826,0.3529411764705882,1.0,0.0,1.0,0.0,0.0,18,51,0,6
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,semantic,1.0,0.4864864864864865,0.4864864864864865,1.0,0.0,1.0,0.0,0.0,18,37,0,3
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,layout_aware,1.0,0.3103448275862069,0.31034482758620685,1.0,0.0,1.0,0.0,0.0,18,58,0,11
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,pac,1.0,0.2647058823529412,0.2647058823529411,1.0,0.0,1.0,0.0,0.0,18,68,0,5
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,fixed,-0.03571428571428571,0.1724137931034483,0.27586206896551724,1.0,0.0,0.0,0.0,0.0,8,29,0,0
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,recursive,-0.4642857142857143,0.21739130434782608,0.34782608695652173,1.0,0.0,0.0,0.0,0.0,8,23,0,0
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,semantic,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8,0,0,5
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,layout_aware,-0.07142857142857142,0.17647058823529413,0.47058823529411764,1.0,0.0,0.0,0.0,0.0,8,17,0,0
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,pac,-0.10714285714285714,0.21428571428571427,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,8,28,0,0
c0b6acb173,Securing Approval for Sponsorship of Conferences,cdc,11,fixed,0.3888888888888889,0.29411764705882354,0.5294117647058824,1.0,0.0,1.0,0.0,0.0,9,17,2,3
c0b6acb173,Securing Approval for Sponsorship of Conferences,cdc,11,recursive,0.05555555555555555,0.25,0.5625,1.0,0.0,1.0,0.0,0.0,9,16,2,4
c0b6acb173,Securing Approval for Sponsorship of Conferences,cdc,11,semantic,0.4444444444444444,0.2,0.36,1.0,0.0,1.0,0.0,0.0,9,25,2,5
c0b6acb173,Securing Approval for Sponsorship of Conferences,cdc,11,layout_aware,0.7222222222222222,0.21951219512195122,0.2195121951219512,1.0,0.0,1.0,0.0,0.0,9,41,2,5
c0b6acb173,Securing Approval for Sponsorship of Conferences,cdc,11,pac,0.5555555555555556,0.23076923076923078,0.23076923076923073,1.0,0.0,1.0,0.0,0.0,9,39,2,1
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,fixed,0.0,0.0,0.15662650602409633,1.0,0.0,1.0,0.0,0.0,13,83,2,1
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,recursive,-0.1282051282051282,0.01639344262295082,0.21311475409836067,1.0,0.0,1.0,0.0,0.0,13,61,2,4
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,semantic,0.0,0.0,0.21311475409836067,1.0,0.0,0.0,0.0,0.0,13,61,2,0
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,layout_aware,0.0,0.0,0.4482758620689655,1.0,0.0,1.0,0.0,0.0,13,29,2,4
75c807b2d3,Frl5937 02 Oar Method%2023%20Final 20230221 Admin,epa,43,pac,-0.21794871794871795,0.016,0.10399999999999998,1.0,0.0,1.0,0.0,0.0,13,125,2,2
0b453920a3,Otm 50 Release 1,epa,53,fixed,0.4358974358974359,0.08333333333333333,0.12037037037037035,1.0,0.0,1.0,0.0,0.0,13,108,0,8
0b453920a3,Otm 50 Release 1,epa,53,recursive,0.5384615384615384,0.10256410256410256,0.16666666666666663,1.0,0.0,0.0,0.0,0.0,13,78,0,0
