url,source,domain,title,page_count,estimated_steps,length_bucket,language,has_steps,has_safety_clauses,license,redistribute_ok,bytes,sha256
https://www.osha.gov/sites/default/files/publications/OSHA3837.pdf,osha,general,An Toàn và Sức Khoẻ Trong Công Việc: ĐÓ LÀ LUẬT!,1,0,short,vi,False,False,US Gov public domain,yes,898553,04df557de42c9bcdc6bc17ef4a65ae49402069c05730e4bdbf6ad7b0cdd1ccc2
https://www.osha.gov/sites/default/files/publications/3439at-a-glance.pdf,osha,general,OSHA At-A-Glance,3,0,short,en,False,True,US Gov public domain,yes,184032,422dfed977221f23bba5d932d2305f95bcaed78efc57f05a8a9baebaa9b7973b
https://www.osha.gov/sites/default/files/publications/3454-B-at-a-glance-SP.pdf,osha,general,OSHA 3454-B AT A GLANCE SPANISH LETTER SIZE FOR WEB:Layout 1,3,0,short,es,False,False,US Gov public domain,yes,808056,3c2bc2060a1f1cd5f9ffc206d0f4fd229b7e0a5854c00d754f1e0f185fdb8615
https://www.osha.gov/sites/default/files/publications/3469-B-at-a-glance-letter-size-portugues.pdf,osha,general,OSHA 3469-B AT A GLANCE LETTER SIZE FOR WEB PORTUGUESE:Layout 1,3,0,short,pt,False,False,US Gov public domain,yes,599170,c6fdcbbc26250e521d4a19901e524613d16761a268870a7ebe7fc9426d8d295a
https://www.osha.gov/sites/default/files/publications/3453-B-at-a-glance-vietnamese.pdf,osha,general,OSHA 3453-BAT A GLANCE LETTER SIZE FOR WEB_VIETNAMESE:Layout 1,3,0,short,vi,False,False,US Gov public domain,yes,485080,d19f8361fed23765eb4bf6d951c6f16aa481942a7f1b458c5bb49bdfa05fc71f
https://www.osha.gov/sites/default/files/publications/factsheet.pdf,osha,general,Factsheet,2,1,short,en,False,False,US Gov public domain,yes,1413276,f2966aa90ac8fac201dc5534e569519b37a12ec8fe746b65a41eeb2d9bc62c17
https://www.osha.gov/sites/default/files/publications/factsheet_sp.pdf,osha,general,Factsheet Sp,4,0,short,es,False,False,US Gov public domain,yes,1794309,622d4f82159c729391806dbb991b300d005cd06ebfa9f28d5e5e37e188af7084
https://www.osha.gov/sites/default/files/publications/OSHA3545.pdf,osha,general,Osha3545,2,0,short,pl,False,False,US Gov public domain,yes,1466721,6421d5ba806232a856d35525525bf6c0089c01cf6672b76dd7238e32be874008
https://www.osha.gov/sites/default/files/publications/OSHA3549.pdf,osha,general,Osha3549,2,0,short,ru,False,False,US Gov public domain,yes,1481890,d2b2cad8d45dfb996f830a044f9b85e70aa0b290074cc6047f311b6ca66caea3
https://www.osha.gov/sites/default/files/publications/OSHA3774.pdf,osha,general,National Safety Stand-Down to Prevent Falls in Construction,1,0,short,en,False,False,US Gov public domain,yes,1618519,9b3468719027e530ed30e462d2df88dc4969479783302017ce85847f3838fe82
https://www.osha.gov/sites/default/files/publications/OSHA3775.pdf,osha,general,Participe en el evento de la Campaña Nacional de Prevención de Caídas,1,0,short,es,False,False,US Gov public domain,yes,1614775,8ca5ac70ceb4f238bef790fe7d7e010259709aac0607d9362b2c1a1fd64ca616
https://www.osha.gov/sites/default/files/publications/OSHA4495.pdf,osha,general,Extension Cords: 5 Things to Know,1,0,short,en,False,True,US Gov public domain,yes,156113,90b65e7988f92f190865d0b63c70a5f4474ab1539ae0b4b198cd15ff580fbe38
https://www.nrc.gov/sites/default/files/doc_library/cdn/legacy/insp-gen/nrc835.pdf,nrc,chemical,c:\temp\ffcxc2.wpf,3,1,short,en,False,False,US Gov public domain,yes,182760,d6b1f2af58efe5aafe3ef6d73bb011a7b1fc3d61687e497daeb4fb819fe18803
https://www.nrc.gov/reactors/rtr-security-timeline.pdf,nrc,chemical,Microsoft Word - RTR security timeline 011712 BW.docx,1,0,short,en,False,False,US Gov public domain,yes,89295,011066e0705e6d6052b9abab8ecde40c6d4bcc4c8f666d5ef4a2e0863efbb2f1
https://www.nrc.gov/docs/ML0407/ML040700599.pdf,nrc,chemical,"IP 69003, ""Class I Research and Test Reactor Operator Licenses, Requalification, and Medical.""",4,0,short,en,False,False,US Gov public domain,yes,21319,838d04a9316e329b40ece121f369b81a55b7571dae870e26283a568b94828e20
https://www.nrc.gov/docs/ML0407/ML040700638.pdf,nrc,chemical,"IP 69005, ""Class I Research and Test Reactor Experiments.""",8,8,short,en,True,True,US Gov public domain,yes,32778,2284b892194417760502bdd70e136f054fb79bc763ccd20fbd9762e2367f55a3
https://www.nrc.gov/docs/ML0407/ML040710023.pdf,nrc,chemical,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",6,4,short,en,True,True,US Gov public domain,yes,27781,1e8543bf95dd1fc07bfa53f17e0260acd131fb5014a3090419ec9c23052b4948
https://www.nrc.gov/docs/ML0407/ML040710098.pdf,nrc,chemical,"IP 69010, ""Class I Research and Test Reactor Surveillance.""",4,2,short,en,False,False,US Gov public domain,yes,19127,7264d699877bb88b250e9eadae4114d89398cf5c3c84e61151c21cec5782860a
https://www.nrc.gov/docs/ML0407/ML040710129.pdf,nrc,chemical,"IP 69012, ""Class I Research and Test Reactors Radiation Protection.""",10,3,short,en,True,True,US Gov public domain,yes,43551,6a7b67ee112eb8bfd008f5871e03fba9fa73e31135bb43cdfea7bce77ea5f210
https://www.nrc.gov/docs/ML2410/ML24102A016.pdf,nrc,chemical,TRTR Form 396 Training Presentation,17,0,short,en,False,False,US Gov public domain,yes,2236574,0307ce2c60ac151567893c52812cc14340f1914c39107af6ade8dc67ac0f04db
https://www.nrc.gov/docs/ML2223/ML22235A651.pdf,nrc,chemical,FY22-24 NRC Research Prospectus Final for Review,37,2,short,en,False,True,US Gov public domain,yes,13301006,3fb6817cb72bcf374b5c66c89e82fae17f4dc9c71574795a91c1545080099e0b
https://www.nrc.gov/docs/ML2021/ML20218A248.pdf,nrc,chemical,SRM-COMSECY-20-0012: Enclosure 1 - Memorandum of Understanding Between the U.S. Environmental Protection Agency and U.S. Nuclear Regulatory Commission on Uranium in situ Recovery Activities,8,38,medium,en,True,False,US Gov public domain,yes,3641163,41f79bcd69e6c94bfdbf8489982cfed31af04c3c98378abb42fc5bf727efd236
https://www.nrc.gov/docs/ML1821/ML18214A663.pdf,nrc,chemical,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",56,9,short,en,True,False,US Gov public domain,yes,1554082,8a79c085f20765034330e0020d351d834970d2954948621169278aa175b49241
https://www.cdc.gov/labs/media/pdfs/2024/05/accomplishments-2016-top10.pdf,cdc,chemical,NCEZID_Top 10 Accomplishments,20,16,short,en,True,True,US Gov public domain,yes,10436838,88bd6627c36a69053341971f87294282f57597247ec464e030feaa25119c7c48
https://www.cdc.gov/labs/pdf/EnhancingCDCLaboratoryPoliciesPracticesSystems.pdf,cdc,chemical,Enhancingcdclaboratorypoliciespracticessystems,22,2,short,en,False,True,US Gov public domain,yes,460390,9a61ff77d811412f6602e2044986b4f7b9128bae4dc71c79063ba15707377e5f
https://www.cdc.gov/labs/media/pdfs/2025/09/CLIA-Certificate-40D0869394-2025-07-13-508.pdf,cdc,chemical,CLIA Certificate,1,0,short,en,False,False,US Gov public domain,yes,333565,da2b49a02360bfbf0c6d48791e9a4da9cce37a3c5cbc2b9d31386d38ee2952e1
https://www.cdc.gov/labs/media/pdfs/2025/04/CLIA-Certificate-11D0668319-2024-09-30_Apr7-Final.pdf,cdc,chemical,CENTERS FOR MEDICARE & MEDICAID SERVICES CLINICAL LABORATORY IMPROVEMENT AMENDMENTS Certificate of Compliance,1,0,short,en,False,False,US Gov public domain,yes,220834,9feeca21ee096dd5e02c29873101fd5ecdd2b34d6748fc72b71ae0b63aa52e86
https://www.cdc.gov/labs/media/pdfs/2025/07/A2LA-Certificate-of-Accreditation-v10-20250703_pg8_508.pdf,cdc,chemical,Microsoft Word - 6801.01s,1,0,short,en,False,False,US Gov public domain,yes,274544,310744b4280cf54b59381238f25877b0baf600d6992365a23f6da453e25728da
https://www.cdc.gov/labs/media/pdfs/2025/04/CLIA-Certificate-Lab-CDC-Fort-Collins-06D0880233-2024-12-09-FINAL-Mar31.pdf,cdc,chemical,Clinical Laboratory Improvement Amendments Certificate of Compliance,1,0,short,en,False,False,US Gov public domain,yes,663462,7142baeff60d4681cd2559db57d141d657a7b79c37d91456b5474984defc0615
