baseline,metric,n_paired,pac_mean_delta,pac_wins,pac_ties,pac_losses,wilcoxon_W,wilcoxon_p
fixed,step_tau,20,-0.0155,9,2,9,83.0,0.9133
fixed,step_precision,20,0.0202,11,1,8,66.0,0.2432
fixed,step_count_fidelity,20,0.1144,12,1,7,44.0,0.0401
fixed,precondition_recall,20,0.0771,4,15,1,4.0,0.3452
fixed,constraint_f1,20,-0.0124,1,17,2,2.0,0.593
fixed,orphan_constraint_rate,20,0.0044,9,3,8,70.0,0.7583
recursive,step_tau,20,-0.0483,8,4,8,56.0,0.5349
recursive,step_precision,20,0.0157,11,2,7,68.0,0.446
recursive,step_count_fidelity,20,0.1038,13,0,7,57.0,0.0731
recursive,precondition_recall,20,0.1229,6,12,2,5.5,0.0801
recursive,constraint_f1,20,-0.0034,2,16,2,3.0,0.4652
recursive,orphan_constraint_rate,20,0.0212,10,5,5,48.0,0.4955
semantic,step_tau,20,-0.0293,10,1,9,89.0,0.8092
semantic,step_precision,20,-0.0048,8,2,10,84.0,0.9479
semantic,step_count_fidelity,20,0.0555,7,2,11,85.0,0.9826
semantic,precondition_recall,20,0.0851,5,13,2,8.0,0.3105
semantic,constraint_f1,20,-0.027,2,15,3,3.0,0.2249
semantic,orphan_constraint_rate,20,0.0353,9,4,7,60.0,0.6791
layout_aware,step_tau,20,0.0403,10,3,7,62.0,0.4925
layout_aware,step_precision,20,0.0087,10,3,7,63.0,0.5228
layout_aware,step_count_fidelity,20,0.0583,9,2,9,74.0,0.6165
layout_aware,precondition_recall,20,0.0274,4,12,4,15.0,0.6744
layout_aware,constraint_f1,20,-0.0017,2,16,2,5.0,1.0
layout_aware,orphan_constraint_rate,20,0.0271,9,3,8,65.0,0.5862
