chunker,n_cells,step_tau_mean,step_tau_median,step_precision_mean,step_precision_median,step_count_fidelity_mean,step_count_fidelity_median,precondition_recall_mean,precondition_recall_median,constraint_f1_mean,constraint_f1_median,orphan_constraint_rate_mean,orphan_constraint_rate_median
fixed,20,0.1803,0.1073,0.1775,0.1644,0.3237,0.3539,0.131,0.0,0.0248,0.0,0.1784,0.1514
recursive,20,0.213,0.1759,0.182,0.1723,0.3343,0.3217,0.0851,0.0,0.0158,0.0,0.1951,0.1497
semantic,20,0.1941,0.0848,0.2025,0.1876,0.3827,0.3,0.1229,0.0,0.0394,0.0,0.2093,0.1714
layout_aware,20,0.1244,0.0,0.189,0.1786,0.3798,0.3353,0.1807,0.0,0.0141,0.0,0.2011,0.1714
pac,20,0.1648,0.1104,0.1977,0.1863,0.4381,0.3761,0.208,0.0,0.0124,0.0,0.174,0.0972
