doc_sha,doc_title,doc_source,doc_pages,chunker,step_tau,step_precision,step_count_fidelity,precondition_recall,constraint_f1,orphan_constraint_rate,constraint_precision,constraint_recall,n_gold_steps,n_pred_steps,n_gold_constraints,n_pred_constraints
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,semantic,0.0,0.2571428571428571,0.2571428571428571,0.0,0.1111111111111111,0.0,0.058823529411764705,1.0,9,35,2,15
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,layout_aware,0.0,0.20454545454545456,0.20454545454545459,0.0,0.0909090909090909,0.0,0.047619047619047616,1.0,9,44,2,18
1e8543bf95,"IP 69009, ""Class I Research and Test Reactor Fuel Movement.""",nrc,6,pac,0.25,0.2,0.9,0.0,0.0,0.0,0.0,0.0,9,10,2,8
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,fixed,-0.10714285714285714,0.07058823529411765,0.09411764705882353,0.0,0.0,0.2903225806451613,0.0,0.0,8,85,4,31
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,recursive,0.42857142857142855,0.1590909090909091,0.18181818181818177,0.0,0.0,0.0,0.0,0.0,8,44,4,12
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,semantic,0.17857142857142858,0.023809523809523808,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,8,42,4,15
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,layout_aware,-0.2857142857142857,0.09523809523809523,0.19047619047619047,0.0,0.0,0.21052631578947367,0.0,0.0,8,42,4,19
b8f46c5ffc,Draft METHOD 327 - Fugitive and Area Source Measurement of S,epa,54,pac,0.0,0.09523809523809523,0.19047619047619047,0.0,0.0,0.3,0.0,0.0,8,42,4,20
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,fixed,0.3333333333333333,0.1111111111111111,0.19047619047619047,0.0,0.0,0.12903225806451613,0.0,0.0,12,63,4,31
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,recursive,0.0,0.1111111111111111,0.16666666666666663,0.0,0.04761904761904762,0.18181818181818182,0.02631578947368421,0.25,12,72,4,33
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,semantic,-0.07575757575757576,0.125,0.30000000000000004,0.0,0.0,0.4583333333333333,0.0,0.0,12,40,4,24
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,layout_aware,0.16666666666666666,0.10638297872340426,0.25531914893617025,0.0,0.0,0.7272727272727273,0.0,0.0,12,47,4,33
f7d91ded58,"OSHA Technical Manual - Section IV, Chapter 6, Combustible D",osha,156,pac,0.015151515151515152,0.17647058823529413,0.3529411764705882,0.0,0.10526315789473685,0.21428571428571427,0.06666666666666667,0.25,12,34,4,14
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,fixed,0.9259259259259259,0.3684210526315789,0.368421052631579,0.75,0.0,0.16,0.0,0.0,28,76,2,25
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,recursive,0.6137566137566137,0.36923076923076925,0.4307692307692308,0.5,0.0,0.1875,0.0,0.0,28,65,2,16
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,semantic,0.6137566137566137,0.34328358208955223,0.417910447761194,0.125,0.0,0.2,0.0,0.0,28,67,2,10
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,layout_aware,1.0,0.3373493975903614,0.3373493975903614,0.625,0.0,0.04,0.0,0.0,28,83,2,25
6a7b67ee11,"IP 69012, ""Class I Research and Test Reactors Radiation Prot",nrc,10,pac,0.14814814814814814,0.5769230769230769,0.9285714285714286,0.125,0.0,0.1111111111111111,0.0,0.0,28,26,2,9
04a644830f,2023%20Final%20Revisions%20Rule,epa,28,fixed,0.0,0.0,0.23076923076923073,0.0,0.0,0.08333333333333333,0.0,0.0,12,52,1,24
04a644830f,2023%20Final%20Revisions%20Rule,epa,28,recursive,0.0,0.0,0.32432432432432434,0.0,0.0,0.11764705882352941,0.0,0.0,12,37,1,17
04a644830f,2023%20Final%20Revisions%20Rule,epa,28,semantic,0.0,0.0,0.2666666666666667,0.0,0.0,0.1,0.0,0.0,12,45,1,20
04a644830f,2023%20Final%20Revisions%20Rule,epa,28,layout_aware,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,12,42,1,24
04a644830f,2023%20Final%20Revisions%20Rule,epa,28,pac,0.0,0.0,0.46153846153846156,0.0,0.0,0.3157894736842105,0.0,0.0,12,26,1,19
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,fixed,0.2,0.275,0.375,0.0,0.0,0.0,0.0,0.0,15,40,3,7
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,recursive,0.02857142857142857,0.17073170731707318,0.36585365853658536,0.0,0.0,0.0,0.0,0.0,15,41,3,10
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,semantic,-0.13333333333333333,0.18,0.30000000000000004,0.0,0.14285714285714288,0.0,0.09090909090909091,0.3333333333333333,15,50,3,11
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,layout_aware,0.08571428571428572,0.23809523809523808,0.3571428571428571,0.0,0.0,0.1111111111111111,0.0,0.0,15,42,3,9
8a79c085f2,"NUREG-2173, Rev. 1 - Tribal Protocol Manual - July 2018.",nrc,56,pac,0.2571428571428571,0.20408163265306123,0.30612244897959184,0.5,0.0,0.0,0.0,0.0,15,49,3,7
e5da4ad795,Validation of U.S. Environmental Protection Agency Environme,epa,43,fixed,0.1619047619047619,0.1935483870967742,0.4838709677419355,0.0,0.14285714285714285,0.46153846153846156,0.1111111111111111,0.2,15,31,4,13
e5da4ad795,Validation of U.S. Environmental Protection Agency Environme,epa,43,recursive,0.3619047619047619,0.2608695652173913,0.32608695652173914,0.25,0.09523809523809523,0.5714285714285714,0.0625,0.2,15,46,4,28
e5da4ad795,Validation of U.S. Environmental Protection Agency Environme,epa,43,semantic,0.3523809523809524,0.13725490196078433,0.2941176470588235,0.0,0.13333333333333333,0.2857142857142857,0.1,0.2,15,51,4,14
e5da4ad795,Validation of U.S. Environmental Protection Agency Environme,epa,43,layout_aware,-0.01904761904761905,0.12195121951219512,0.36585365853658536,0.25,0.0909090909090909,0.0,0.058823529411764705,0.2,15,41,4,16
